PATIENT_NAME,Tx,Px,Sx,PT_time,Py,Sy,QR_ampl,QS_ampl,ST_ampl,PT_ampl,QRS_angle,RQS_angle,RTS_angle
patient001,10000.023886382094,9988.993533012885,10071.513677620487,610.44,13263.341128168888,13428.946666666669,1.0167450460654566,0.725899779791444,0.4722535299771057,0.575783732552712,181.96540650174973,138.46900217235432,291.3112306921432
patient001,30391.586288081075,29051.711786664284,29145.22246057303,549.8036809815951,38732.4752424522,38860.30879345603,1.07406538303537,0.930749640058788,0.9928100702958512,0.4837482946051897,163.7623142710538,163.92830406041233,202.6885426855237
patient001,28863.05698484756,28931.62971108492,29022.75847056832,478.4370860927152,38585.49252256852,38697.36865342163,0.8132231566791426,0.9524245382251872,1.5716675312291426,0.6042363559691887,178.29597781459572,193.76412116312704,163.4950668601829
patient002,29440.643343487685,29308.800240214896,29384.18823115931,258.77027027027026,38865.60678394381,39178.92342342343,0.1228486903201809,1.1048753093879844,1.1436086164566008,0.060465185318941,177.82041003383912,358.832470649835,0.6800262826144613
patient003,29180.946730737745,28964.49984482956,28854.896383272124,632.6713286713286,38606.80494442335,38476.93473193473,1.3042922202318945,0.778354409706666,1.2903786288524013,0.1165591691160043,144.62258009051936,141.6447578252694,142.8545786186484
patient004,29474.076220710624,29264.85328759616,29376.237891651606,399.2884615384616,38959.25247586425,39168.23504273504,0.4449669591515338,0.6402139129634279,1.0145758829612723,0.3814162501876311,176.57862116003008,358.2366263661267,41.79551202246763
patient004,29177.89644519304,29214.99193263626,29340.26636285524,508.3921568627451,38869.15933731741,39120.570806100215,0.3975508196603923,0.5565063492288742,0.8095444365154649,0.7121943539068865,175.54688627229748,263.1034000592915,159.85552466327846
patient005,29072.12981495158,26986.82044491643,28810.69763611116,583.4193548387096,35984.22843547993,38414.29247311828,0.4384782153570108,0.420568952192314,0.4474589487325314,0.1188495109543835,148.65170297994797,141.66754608949057,141.69550051006397
patient005,27927.51969929505,28810.214022276527,28978.40213004933,515.8045977011494,38512.260811133776,38637.88888888889,0.4422360705857638,0.4614590204875035,0.5529414261804394,0.2052656506458962,153.06711660751293,171.73704609106895,160.30120205633196
patient005,25369.9349806172,25067.91830007462,25306.49317912072,604.0,33287.45161290323,33742.021505376346,1.017276348001548,0.7108016522172721,0.1238621363652317,0.0282345824784137,179.51171000671647,359.801188855081,0.0988577998097602
patient007,23525.91419573584,27987.00660397292,28948.98410204624,637.3857142857142,37270.54001599155,38598.409523809525,0.5274152301544214,0.3936532179033821,0.6239032015732591,0.3795513291665144,141.4841712707572,131.1901746065822,159.37576139234844
patient007,28882.49534227525,29788.56596406986,29975.59723116455,1419.0181818181818,39624.20378432019,39967.53939393939,0.6368893023776752,0.4633232796602501,0.5646250718510256,0.1690363981891183,160.26216172281158,196.37580385337893,130.90527429435318
patient007,29515.26957942876,29000.671640134544,29193.11056635473,699.3178294573644,38631.10848726411,38924.19638242894,0.6310592753235325,0.5400195218065005,0.5688842792617992,0.6391091271757164,177.20564014655292,192.6199254111443,206.48468169352927
patient008,28945.12574405271,28903.80989294869,29068.146474386405,772.7264957264957,38493.57595241728,38757.77492877493,1.2067526592436375,0.6972303736732942,1.2173266371648517,0.2068088859857462,149.27713852207185,142.35572706076215,145.31658761288398
patient008,29611.12094703024,29390.169504030942,29478.439701564537,738.4132231404959,39168.711202917184,39304.44903581267,1.2059485253770748,0.7506950272711409,1.1435637141189652,0.2353116532740093,151.28931025960557,164.15491416113352,133.10794822443648
